hotel,is_canceled,lead_time,arrival_date_week_number,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,market_segment,distribution_channel,is_repeated_guest,previous_bookings_not_canceled,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,day_demand,los,arrival_year,arrival_month,arrival_dow,arrival_day
Resort Hotel,0,113,27,2,5,2,0,0,1,Offline TA/TO,TA/TO,0,0,0,No Deposit,1,0,0,Transient,82.88,0,2,93,7,2015,7,3,2
Resort Hotel,0,50,27,2,5,2,0,0,1,Online TA,TA/TO,0,0,1,No Deposit,1,0,0,Transient,119.35,0,1,93,7,2015,7,3,2
Resort Hotel,0,113,27,2,5,2,0,0,1,Offline TA/TO,TA/TO,0,0,0,No Deposit,1,0,0,Transient,67.58,0,2,93,7,2015,7,3,2
Resort Hotel,0,3,27,0,1,2,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,88.2,1,0,93,1,2015,7,3,2
Resort Hotel,0,1,27,0,1,2,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,147.0,1,0,93,1,2015,7,3,2
Resort Hotel,0,1,27,0,1,2,1,0,1,Direct,Direct,0,0,0,No Deposit,0,0,0,Transient,107.0,1,2,93,1,2015,7,3,2
Resort Hotel,0,0,27,0,1,2,0,0,1,Direct,Direct,0,0,0,No Deposit,0,0,0,Transient,147.0,0,0,93,1,2015,7,3,2
Resort Hotel,0,0,27,0,1,2,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,117.9,0,2,93,1,2015,7,3,2
Resort Hotel,0,0,27,0,1,2,0,0,1,Direct,Direct,0,0,0,No Deposit,0,0,0,Transient,123.0,0,0,93,1,2015,7,3,2
Resort Hotel,0,14,27,0,2,2,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,98.0,0,1,93,2,2015,7,3,2
Resort Hotel,0,10,27,0,2,2,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,117.81,0,0,93,2,2015,7,3,2
Resort Hotel,0,5,27,0,2,2,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,135.0,1,2,93,2,2015,7,3,2
Resort Hotel,0,17,27,0,3,2,0,0,1,Direct,Direct,0,0,0,No Deposit,1,0,0,Transient,133.0,0,1,93,3,2015,7,3,2
Resort Hotel,1,3,27,0,3,2,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,136.33,0,2,93,3,2015,7,3,2
Resort Hotel,0,10,27,0,2,2,1,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,153.0,1,0,56,2,2015,7,4,3
Resort Hotel,0,3,27,0,2,2,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,110.5,0,0,56,2,2015,7,4,3
Resort Hotel,0,51,27,0,2,2,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,97.0,0,0,56,2,2015,7,4,3
Resort Hotel,1,71,27,0,2,3,0,0,1,Offline TA/TO,TA/TO,0,0,0,No Deposit,1,0,0,Transient,110.3,0,2,56,2,2015,7,4,3
Resort Hotel,1,63,27,0,2,2,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,82.0,0,2,56,2,2015,7,4,3
Resort Hotel,1,62,27,0,2,2,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,97.0,0,1,56,2,2015,7,4,3
Resort Hotel,1,101,27,0,2,2,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,73.8,0,1,56,2,2015,7,4,3
Resort Hotel,0,2,27,0,2,2,0,0,1,Offline TA/TO,TA/TO,0,0,0,No Deposit,1,0,0,Transient,91.5,0,0,56,2,2015,7,4,3
Resort Hotel,0,15,27,0,2,2,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,114.5,0,0,56,2,2015,7,4,3
Resort Hotel,1,51,27,0,2,3,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,110.3,0,0,56,2,2015,7,4,3
Resort Hotel,0,3,27,1,2,2,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,90.9,1,0,56,3,2015,7,4,3
Resort Hotel,1,48,27,1,2,2,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,123.0,0,0,56,3,2015,7,4,3
Resort Hotel,0,2,27,2,2,1,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,122.0,0,0,56,4,2015,7,4,3
Resort Hotel,0,72,27,2,2,2,0,0,1,Offline TA/TO,TA/TO,0,0,0,No Deposit,1,0,0,Transient,110.7,1,0,56,4,2015,7,4,3
Resort Hotel,0,81,27,2,6,3,0,0,1,Offline TA/TO,TA/TO,0,0,0,No Deposit,1,0,0,Transient,85.86,0,0,56,8,2015,7,4,3
Resort Hotel,1,81,27,3,7,2,0,0,1,Direct,Direct,0,0,2,No Deposit,1,0,0,Transient,124.0,0,1,56,10,2015,7,4,3
Resort Hotel,0,69,27,4,10,2,0,0,1,Online TA,TA/TO,0,0,1,No Deposit,1,0,0,Transient,92.45,0,1,56,14,2015,7,4,3
Resort Hotel,1,79,27,6,15,2,1,0,1,Offline TA/TO,TA/TO,0,0,0,No Deposit,1,0,0,Transient,108.73,0,2,56,21,2015,7,4,3
Resort Hotel,0,12,27,0,1,2,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,73.8,0,0,56,1,2015,7,4,3
Resort Hotel,0,9,27,0,1,2,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,98.0,1,2,56,1,2015,7,4,3
Resort Hotel,0,1,27,0,1,2,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,131.0,0,1,56,1,2015,7,4,3
Resort Hotel,0,21,27,0,1,2,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,123.0,0,0,56,1,2015,7,4,3
Resort Hotel,0,9,27,0,1,2,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,94.71,0,0,56,1,2015,7,4,3
Resort Hotel,0,109,27,0,1,2,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,123.0,0,2,56,1,2015,7,4,3
Resort Hotel,1,109,27,0,2,2,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,123.0,0,1,56,2,2015,7,4,3
Resort Hotel,1,72,27,0,2,2,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,73.8,0,1,56,2,2015,7,4,3
Resort Hotel,1,63,27,2,5,2,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,117.0,0,1,56,7,2015,7,4,3
Resort Hotel,0,63,27,2,5,3,0,0,1,Offline TA/TO,TA/TO,0,0,0,No Deposit,1,0,0,Transient,196.54,0,1,56,7,2015,7,4,3
Resort Hotel,0,101,27,2,5,2,1,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,99.3,1,2,56,7,2015,7,4,3
Resort Hotel,0,102,27,2,5,2,0,0,1,Direct,Direct,0,0,0,No Deposit,1,0,0,Transient,90.95,0,0,56,7,2015,7,4,3
Resort Hotel,0,4,27,2,1,2,0,0,1,Direct,Direct,0,0,0,No Deposit,1,0,0,Transient,92.67,0,1,88,3,2015,7,5,4
Resort Hotel,0,98,27,2,1,2,0,0,1,Offline TA/TO,TA/TO,0,0,0,No Deposit,1,0,0,Transient,71.55,1,0,88,3,2015,7,5,4
Resort Hotel,0,92,27,2,4,1,1,0,1,Offline TA/TO,TA/TO,0,0,0,No Deposit,1,0,0,Transient,96.49,0,2,88,6,2015,7,5,4
Resort Hotel,0,95,27,2,4,2,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,85.8,1,2,88,6,2015,7,5,4
Resort Hotel,0,102,27,2,5,2,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,96.3,0,1,88,7,2015,7,5,4
Resort Hotel,1,26,27,2,5,2,1,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,163.0,0,0,88,7,2015,7,5,4
Resort Hotel,1,73,27,2,5,3,0,0,1,Direct,Direct,0,0,0,No Deposit,1,0,0,Transient,172.0,0,1,88,7,2015,7,5,4
Resort Hotel,1,102,27,2,5,2,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,110.7,0,1,88,7,2015,7,5,4
Resort Hotel,0,115,27,2,5,2,0,0,1,Offline TA/TO,TA/TO,0,0,0,No Deposit,1,0,0,Transient,58.95,0,1,88,7,2015,7,5,4
Resort Hotel,0,102,27,2,5,2,0,1,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,73.8,0,2,88,7,2015,7,5,4
Resort Hotel,0,86,27,2,5,2,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,97.0,0,2,88,7,2015,7,5,4
Resort Hotel,0,78,27,2,5,2,0,1,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,139.0,0,2,88,7,2015,7,5,4
Resort Hotel,0,52,27,2,5,2,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,67.24,0,0,88,7,2015,7,5,4
Resort Hotel,0,29,27,2,6,3,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,116.5,0,1,88,8,2015,7,5,4
Resort Hotel,1,101,27,2,6,2,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,96.3,0,1,88,8,2015,7,5,4
Resort Hotel,0,109,27,2,6,2,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,123.0,0,1,88,8,2015,7,5,4
Resort Hotel,0,79,27,4,6,2,1,0,1,Direct,Direct,0,0,1,No Deposit,1,0,0,Transient,149.0,0,1,88,10,2015,7,5,4
Resort Hotel,0,2,27,0,1,2,1,0,1,Online TA,TA/TO,0,0,1,No Deposit,1,0,0,Transient,163.0,1,0,88,1,2015,7,5,4
Resort Hotel,1,51,27,0,1,1,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,105.0,0,0,88,1,2015,7,5,4
Resort Hotel,1,36,27,0,1,1,0,0,1,Direct,Direct,0,0,1,No Deposit,1,0,0,Transient,123.0,0,0,88,1,2015,7,5,4
Resort Hotel,1,73,27,0,1,2,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,73.8,0,2,88,1,2015,7,5,4
Resort Hotel,1,33,27,0,1,2,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,113.0,0,0,88,1,2015,7,5,4
Resort Hotel,0,32,27,0,1,4,0,0,1,Complementary,Direct,0,0,2,No Deposit,0,0,0,Transient,0.0,0,1,88,1,2015,7,5,4
Resort Hotel,0,8,27,0,1,2,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,123.0,0,0,88,1,2015,7,5,4
Resort Hotel,0,100,27,1,1,2,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,73.8,1,1,88,2,2015,7,5,4
Resort Hotel,0,1,27,1,1,2,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,114.5,0,0,88,2,2015,7,5,4
Resort Hotel,0,100,27,1,1,2,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,73.8,0,2,88,2,2015,7,5,4
Resort Hotel,0,100,27,1,1,2,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,73.8,0,1,88,2,2015,7,5,4
Resort Hotel,0,9,28,1,0,2,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,88.2,0,1,53,1,2015,7,6,5
Resort Hotel,1,5,28,1,0,2,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,97.0,0,0,53,1,2015,7,6,5
Resort Hotel,0,0,28,1,0,2,0,0,1,Online TA,TA/TO,0,0,1,No Deposit,1,0,0,Transient,85.1,0,0,53,1,2015,7,6,5
Resort Hotel,0,9,28,1,0,1,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,89.0,0,0,53,1,2015,7,6,5
Resort Hotel,0,2,28,1,0,1,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,80.1,0,0,53,1,2015,7,6,5
Resort Hotel,0,2,28,1,0,2,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,98.0,0,0,53,1,2015,7,6,5
Resort Hotel,0,9,28,1,0,1,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,101.0,1,0,53,1,2015,7,6,5
Resort Hotel,1,5,28,1,0,2,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,97.0,0,0,53,1,2015,7,6,5
Resort Hotel,0,2,28,1,0,2,0,0,1,Direct,Direct,0,0,0,No Deposit,0,0,0,Transient,167.0,0,1,53,1,2015,7,6,5
Resort Hotel,0,44,28,2,0,3,0,0,1,Online TA,TA/TO,0,0,3,No Deposit,1,0,0,Transient,225.0,1,0,53,2,2015,7,6,5
Resort Hotel,0,80,28,2,0,2,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,97.0,1,0,53,2,2015,7,6,5
Resort Hotel,0,97,28,2,2,2,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,87.3,0,2,53,4,2015,7,6,5
Resort Hotel,0,109,28,2,3,2,1,0,1,Offline TA/TO,TA/TO,0,0,0,No Deposit,1,0,0,Transient,85.59,1,2,53,5,2015,7,6,5
Resort Hotel,0,30,28,2,3,2,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,123.0,0,0,53,5,2015,7,6,5
Resort Hotel,0,64,28,2,3,2,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,107.0,0,0,53,5,2015,7,6,5
Resort Hotel,0,39,28,2,4,2,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,163.0,0,0,53,6,2015,7,6,5
Resort Hotel,0,90,28,2,4,2,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,82.0,0,0,53,6,2015,7,6,5
Resort Hotel,1,34,28,2,4,2,1,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,163.0,0,0,53,6,2015,7,6,5
Resort Hotel,1,93,28,2,5,2,0,0,1,Offline TA/TO,TA/TO,0,0,0,No Deposit,1,0,0,Transient,105.5,0,0,53,7,2015,7,6,5
Resort Hotel,0,97,28,2,5,2,1,0,1,Direct,Direct,0,0,1,No Deposit,1,0,0,Transient,164.2,1,1,53,7,2015,7,6,5
Resort Hotel,0,29,28,2,5,2,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,97.29,0,1,53,7,2015,7,6,5
Resort Hotel,1,101,28,2,5,2,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,114.0,0,1,53,7,2015,7,6,5
Resort Hotel,0,27,28,2,5,2,0,0,1,Offline TA/TO,TA/TO,0,0,0,No Deposit,1,0,0,Transient,98.4,0,0,53,7,2015,7,6,5
Resort Hotel,0,8,28,4,5,2,1,0,1,Online TA,TA/TO,0,0,1,No Deposit,1,0,0,Transient,175.0,1,1,53,9,2015,7,6,5
Resort Hotel,0,82,28,4,6,2,0,0,1,Offline TA/TO,TA/TO,0,0,0,No Deposit,1,0,0,Transient,63.6,1,2,53,10,2015,7,6,5
Resort Hotel,0,94,28,4,6,3,0,0,1,Direct,Direct,0,0,3,No Deposit,0,0,0,Transient,124.45,1,1,53,10,2015,7,6,5
Resort Hotel,0,115,28,1,4,2,1,0,1,Online TA,TA/TO,0,0,1,No Deposit,1,0,0,Transient,167.0,0,0,75,5,2015,7,0,6
Resort Hotel,0,111,28,1,3,2,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,123.0,0,2,75,4,2015,7,0,6
Resort Hotel,0,51,28,1,3,2,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,117.81,1,2,75,4,2015,7,0,6
Resort Hotel,0,94,28,1,3,3,0,0,1,Offline TA/TO,TA/TO,0,0,0,No Deposit,1,0,0,Transient,171.32,0,1,75,4,2015,7,0,6
Resort Hotel,0,81,28,1,3,2,1,0,1,Direct,Direct,0,0,0,No Deposit,1,0,0,Transient,210.0,1,0,75,4,2015,7,0,6
Resort Hotel,0,84,28,1,3,2,0,1,1,Online TA,TA/TO,0,0,1,No Deposit,1,0,0,Transient,97.0,0,2,75,4,2015,7,0,6
Resort Hotel,0,51,28,1,3,3,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,117.81,0,2,75,4,2015,7,0,6
Resort Hotel,0,111,28,0,0,2,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,0.0,0,2,75,0,2015,7,0,6
Resort Hotel,0,0,28,0,0,1,0,0,1,Direct,Direct,0,0,0,No Deposit,1,0,0,Transient,0.0,0,0,75,0,2015,7,0,6
Resort Hotel,0,2,28,1,0,2,1,0,1,Direct,Direct,0,0,0,No Deposit,0,0,0,Transient,131.0,0,0,75,1,2015,7,0,6
Resort Hotel,0,7,28,1,1,2,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,98.0,0,2,75,2,2015,7,0,6
Resort Hotel,0,98,28,1,1,2,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,87.3,1,1,75,2,2015,7,0,6
Resort Hotel,0,95,28,1,2,2,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,97.0,0,1,75,3,2015,7,0,6
Resort Hotel,1,48,28,1,3,2,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,167.0,0,0,75,4,2015,7,0,6
Resort Hotel,0,66,28,1,3,2,0,0,1,Offline TA/TO,TA/TO,0,0,0,No Deposit,1,0,0,Transient,91.5,0,0,75,4,2015,7,0,6
Resort Hotel,0,104,28,1,3,2,0,0,1,Online TA,TA/TO,0,0,1,No Deposit,1,0,0,Transient,73.8,0,1,75,4,2015,7,0,6
Resort Hotel,0,28,28,1,4,2,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,123.0,0,0,75,5,2015,7,0,6
Resort Hotel,0,34,28,1,4,2,0,0,1,Direct,Direct,0,0,0,No Deposit,1,0,0,Transient,175.0,1,0,75,5,2015,7,0,6
Resort Hotel,0,98,28,1,5,2,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,117.8,1,1,75,6,2015,7,0,6
Resort Hotel,0,104,28,1,5,2,0,0,1,Online TA,TA/TO,0,0,1,No Deposit,1,0,0,Transient,117.63,0,0,75,6,2015,7,0,6
Resort Hotel,0,68,28,2,5,2,1,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,185.0,0,0,75,7,2015,7,0,6
Resort Hotel,1,86,28,2,5,1,0,0,1,Offline TA/TO,TA/TO,0,0,0,No Deposit,1,0,0,Transient,71.0,0,1,75,7,2015,7,0,6
Resort Hotel,0,111,28,3,5,2,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,151.0,0,1,75,8,2015,7,0,6
Resort Hotel,1,94,28,3,7,2,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,87.3,0,0,75,10,2015,7,0,6
Resort Hotel,0,112,28,3,7,2,0,0,1,Offline TA/TO,TA/TO,0,0,0,No Deposit,1,0,0,Transient,120.6,0,1,75,10,2015,7,0,6
Resort Hotel,0,100,28,3,7,2,0,0,1,Offline TA/TO,TA/TO,0,0,1,No Deposit,1,0,0,Transient,63.86,0,1,75,10,2015,7,0,6
Resort Hotel,0,33,28,3,7,2,0,0,1,Direct,Direct,0,0,5,No Deposit,1,0,0,Transient,157.1,0,1,75,10,2015,7,0,6
Resort Hotel,0,80,28,3,8,1,0,0,1,Direct,Direct,0,0,1,No Deposit,0,0,0,Transient,73.0,0,0,75,11,2015,7,0,6
Resort Hotel,0,65,28,2,5,2,0,0,1,Offline TA/TO,TA/TO,0,0,0,No Deposit,1,0,0,Transient,83.5,0,0,75,7,2015,7,0,6
